"","County","CountyCode","Deaths","Population","Crude","ageadjustedrate","PCT_CVD_death","Quintiles"
"82","Shelby County, TN",47157,13736,2040432,673.2,"768.2",0.033,"1"
"83","Marion County, IN",18097,12701,1955707,649.4,"705.6",0.0332,"1"
"84","Baltimore County, MD",24005,14390,2075434,693.3,"623.3",0.0334,"1"
"85","Jefferson County, KY",21111,11358,1837741,618,"624.1",0.0336,"1"
"86","Monmouth County, NJ",34025,9850,1710788,575.8,"589.4",0.0337,"1"
"87","Hamilton County, OH",39061,13045,1949913,669,"655.4",0.0343,"1"
"88","Macomb County, MI",26099,16697,2200791,758.7,"741.1",0.0345,"1"
"89","Milwaukee County, WI",55079,14612,2052558,711.9,"691.7",0.0347,"1"
"90","Washington County, OR",41067,4769,1172207,406.8,"450.4",0.0347,"1"
"91","Suffolk County, MA",25025,7096,1423873,498.4,"501.5",0.035,"1"
"92","Dakota County, MN",27037,3146,944496,333.1,"416.7",0.0353,"1"
"93","Essex County, NJ",34013,11347,1785887,635.4,"671.8",0.0356,"1"
"94","Prince William County, VA",51153,2358,813776,289.8,"492.8",0.0356,"1"
"95","Fresno County, CA",6019,12277,1836607,668.5,"700.5",0.0364,"1"
"96","Anoka County, MN",27003,2273,789318,288,"406.9",0.0365,"1"
"97","Duval County, FL",12031,12748,2000840,637.1,"709.1",0.0318,"1"
"98","DeKalb County, GA",13089,6743,1448701,465.5,"572.7",0.0321,"1"
"99","Monroe County, NY",36055,11374,1877649,605.8,"565.2",0.0323,"1"
"100","Hidalgo County, TX",48215,6761,1345238,502.6,"529.2",0.0374,"1"
"101","Kane County, IL",17089,4740,1119585,423.4,"515.1",0.0378,"1"
"102","Brevard County, FL",12009,11109,1692738,656.3,"578.1",0.0388,"1"
"103","Williamson County, TX",48491,3121,892482,349.7,"452.2",0.0392,"1"
"104","Anne Arundel County, MD",24003,7039,1332347,528.3,"630.6",0.0397,"1"
"105","Loudoun County, VA",51107,1635,633167,258.2,"419.7",0.0408,"1"
"106","Ramsey County, MN",27123,5641,1169668,482.3,"462.9",0.0412,"1"
"107","Chester County, PA",42029,6818,1282242,531.7,"561.2",0.0415,"1"
"108","Morris County, NJ",34027,7342,1329914,552.1,"560.3",0.0415,"1"
"109","Dane County, WI",55025,4917,1086249,452.7,"494.2",0.0417,"1"
"110","Johnson County, KS",20091,6839,1272673,537.4,"571.9",0.0422,"1"
"111","San Joaquin County, CA",6077,8925,1444389,617.9,"668.5",0.0428,"1"
"112","Polk County, FL",12105,11226,1619442,693.2,"636.7",0.0428,"1"
"113","New Castle County, DE",10003,7248,1300341,557.4,"593.5",0.0429,"1"
"114","Kent County, MI",26081,8010,1359001,589.4,"610.5",0.0434,"1"
"115","Denver County, CO",8031,6607,1232641,536,"552.9",0.0435,"1"
"116","Bristol County, MA",25005,8897,1422175,625.6,"595.1",0.044,"1"
"117","Sonoma County, CA",6097,7391,1295162,570.7,"552.9",0.0441,"1"
"118","Hudson County, NJ",34017,7547,1308011,577,"645.6",0.0441,"1"
"119","Waukesha County, WI",55133,5234,1088073,481,"491.9",0.0442,"1"
"120","Seminole County, FL",12117,5017,1055925,475.1,"518.5",0.045,"1"
"121","Montgomery County, TX",48339,5277,1082917,487.3,"635.1",0.045,"1"
"122","Providence County, RI",44007,10146,1500278,676.3,"604.5",0.0451,"1"
"123","Kern County, CA",6029,10293,1611009,638.9,"784.4",0.0397,"1"
"124","Jackson County, MO",29095,10034,1585804,632.7,"650.8",0.0399,"1"
"125","Plymouth County, MA",25023,7260,1344845,539.8,"574.9",0.0401,"1"
"126","Oklahoma County, OK",40109,11950,1620567,737.4,"764.2",0.0455,"1"
"127","Solano County, CA",6095,4590,1003013,457.6,"528.8",0.0456,"1"
"128","Clark County, WA",53011,4783,1019975,468.9,"542.1",0.046,"1"
"129","Hillsborough County, NH",33011,4811,1022459,470.5,"533.1",0.046,"1"
"130","Sarasota County, FL",12115,9065,1402975,646.1,"430.7",0.0461,"1"
"131","Guilford County, NC",37081,6264,1155743,542,"564.8",0.0469,"1"
"132","Davidson County, TN",47037,8620,1349006,639,"705.3",0.0474,"1"
"133","Adams County, CO",8001,3595,870219,413.1,"538",0.0475,"1"
"134","Jefferson County, AL",1073,11971,1587568,754,"755.7",0.0475,"1"
"135","Volusia County, FL",12127,11071,1523962,726.5,"610.3",0.0477,"1"
"136","Summit County, OH",39153,9760,1426793,684.1,"654.5",0.0479,"1"
"137","Clackamas County, OR",41005,5036,1022946,492.3,"514.3",0.0481,"1"
"138","Pinal County, AZ",4021,3845,890545,431.8,"482.4",0.0485,"1"
"139","Howard County, MD",24027,2457,711397,345.4,"477.7",0.0486,"1"
"140","Douglas County, NE",31055,6111,1119026,546.1,"589.3",0.0488,"1"
"141","Spokane County, WA",53063,6503,1149329,565.8,"568",0.0492,"1"
"142","Montgomery County, OH",39113,9421,1377837,683.8,"642.9",0.0496,"1"
"143","Lancaster County, PA",42071,8639,1317338,655.8,"568.9",0.0498,"1"
"144","Greenville County, SC",45045,6021,1098414,548.2,"592.7",0.0499,"1"
"145","Pasco County, FL",12101,9446,1375351,686.8,"585.5",0.0499,"1"
"146","Burlington County, NJ",34005,6995,1181158,592.2,"605.8",0.0501,"1"
"147","York County, PA",42133,6559,1141509,574.6,"589.2",0.0503,"1"
"148","Delaware County, PA",42045,10347,1416319,730.6,"658.4",0.0516,"1"
"149","Union County, NJ",34039,7787,1298014,599.9,"597.5",0.0462,"1"
"150","Virginia Beach city, VA",51810,4421,975346,453.3,"526.5",0.0465,"1"
"151","Collier County, FL",12021,5244,1061666,493.9,"370.9",0.0465,"1"
"152","Onondaga County, NY",36067,7224,1182694,610.8,"567.9",0.0516,"1"
"153","Ada County, ID",16001,4113,885321,464.6,"521.6",0.0525,"1"
"154","Passaic County, NJ",34031,7082,1159243,610.9,"634.6",0.0527,"1"
"155","Hampden County, MA",25013,7316,1170080,625.3,"571.4",0.0534,"1"
"156","Rockingham County, NH",33015,3684,829706,444,"545.4",0.0535,"1"
"157","St. Charles County, MO",29183,4102,867013,473.1,"561",0.0546,"1"
"158","Washington County, MN",27163,1918,591391,324.3,"413.4",0.0548,"1"
"159","Boulder County, CO",8013,2560,682028,375.4,"447.8",0.055,"1"
"160","Tulsa County, OK",40143,10580,1377380,768.1,"791.1",0.0558,"1"
"161","Polk County, IA",19153,5153,955888,539.1,"585.5",0.0564,"1"
"162","District of Columbia, DC",11001,9305,1282761,725.4,"735.6",0.0565,"1"
"163","Marin County, CA",6041,3195,767219,416.4,"391.6",0.0543,"1"
"164","Monterey County, CA",6053,4294,870787,493.1,"498.5",0.0566,"1"
"165","Ocean County, NJ",34029,15351,1643426,934.1,"698.3",0.0568,"1"
"166","Anchorage Borough, AK",2020,2051,600206,341.7,"511.2",0.0569,"1"
"167","Somerset County, NJ",34035,4106,848198,484.1,"516.7",0.0571,"1"
"168","McHenry County, IL",17111,3159,739483,427.2,"582.8",0.0578,"1"
"169","Lane County, OR",41039,4934,918639,537.1,"507.9",0.0585,"1"
"170","Lake County, IN",18089,8580,1209340,709.5,"721",0.0587,"1"
